Date,Speaker,text
12/06/1897,William Mckinley,"It gives me pleasure to extend greeting to the Fifty-fifth Congress, assembled in regular session at the seat of Government, with many of whose Senators and Representatives I have been associated in the legislative service. Their meeting occurs under felicitous conditions, justifying sincere congratulation and calling for our grateful acknowledgment to a beneficent Providence which has so signally blessed and prospered us as a nation. Peace and good will with all the nations of the earth continue unbroken."
12/06/1897,William Mckinley,"A matter of genuine satisfaction is the growing feeling of fraternal regard and unification of all sections of our country, the incompleteness of which has too long delayed realization of the highest blessings of the Union. The spirit of patriotism is universal and is ever increasing in fervor. The public questions which now most engross us are lifted far above either partisanship, prejudice, or former sectional differences. They affect every part of our common country alike and permit of no division on ancient lines. Questions of foreign policy, of revenue, the soundness of the currency, the inviolability of national obligations, the improvement of the public service, appeal to the individual conscience of every earnest citizen to whatever party he belongs or in whatever section of the country he may reside."
12/06/1897,William Mckinley,"The extra session of this Congress which closed during July last enacted important legislation, and while its full effect has not yet been realized, what it has already accomplished assures us of its timeliness and wisdom. To test its permanent value further time will be required, and the people, satisfied with its operation and results thus far, are in no mind to withhold from it a fair trial."
12/06/1897,William Mckinley,"Tariff legislation having been settled by the extra session of Congress, the question next pressing for consideration is that of the currency."
12/06/1897,William Mckinley,"The work of putting our finances upon a sound basis, difficult as it may seem, will appear easier when we recall the financial operations of the Government since 1866. On the 30th day of June of that year we had outstanding demand liabilities in the sum of $728,868,447.41. On the 1st of January, 1879, these liabilities had been reduced to$443,889,495.88. Of our interest-bearing obligations, the figures are even more striking. On July 1, 1866, the principal of the interest-bearing debt of the Government was $2,332,331,208. On the 1st day of July, 1893, this sum had been reduced to $585,137,100, or an aggregate reduction of $1,747,294,108. The interest-bearing debt of the United States on the 1st day of December, 1897, was $847,365,620. The Government money now outstanding (December 1) consists of $346,681,016 of United States notes, $107,793,280 of Treasury notes issued by authority of the law of 1890, $384,963,504 of silver certificates, and $61,280,761 of standard silver dollars."
12/06/1897,William Mckinley,"With the great resources of the Government, and with the honorable example of the past before us, we ought not to hesitate to enter upon a currency revision which will make our demand obligations less onerous to the Government and relieve our financial laws from ambiguity and doubt."
12/06/1897,William Mckinley,"The brief review of what was accomplished from the close of the war to 1893, makes unreasonable and groundless any distrust either of our financial ability or soundness; while the situation from 1893 to 1897 must admonish Congress of the immediate necessity of so legislating as to make the return of the conditions then prevailing impossible."
12/06/1897,William Mckinley,"There are many plans proposed as a remedy for the evil. Before we can find the true remedy we must appreciate the real evil. It is not that our currency of every kind is not good, for every dollar of it is good; good because the Government's pledge is out to keep it so, and that pledge will not be broken. However, the guaranty of our purpose to keep the pledge will be best shown by advancing toward its fulfillment."
12/06/1897,William Mckinley,"The evil of the present system is found in the great cost to the Government of maintaining the parity of our different forms of money, that is, keeping all of them at par with gold. We surely cannot be longer heedless of the burden this imposes upon the people, even under fairly prosperous conditions, while the past four years have demonstrated that it is not only an expensive charge upon the Government, but a dangerous menace to the National credit."
12/06/1897,William Mckinley,"It is manifest that we must devise some plan to protect the Government against bond issues for repeated redemptions. We must either curtail the opportunity for speculation, made easy by the multiplied redemptions of our demand obligations, or increase the gold reserve for their redemption. We have $900,000,000 of currency which the Government by solemn enactment has undertaken to keep at par with gold. Nobody is obliged to redeem in gold but the Government. The banks are not required to redeem in gold. The Government is obliged to keep equal with gold all its outstanding currency and coin obligations, while its receipts are not required to be paid in gold. They are paid in every kind of money but gold, and the only means by which the Government can with certainty get gold is by borrowing. It can get it in no other way when it most needs it. The Government without any fixed gold revenue is pledged to maintain gold redemption, which it has steadily and faithfully done, and which, under the authority now given, it will continue to do."
12/06/1897,William Mckinley,"The law which requires the Government, after having redeemed its United States notes, to pay them out again as current funds, demands a constant replenishment of the gold reserve. This is especially so in times of business panic and when the revenues are insufficient to meet the expenses of the Government. At such times the Government has no other way to supply its deficit and maintain redemption but through the increase of its bonded debt, as during the Administration of my predecessor, when $262,315,400 of four-and-a-half per cent bonds were issued and sold and the proceeds used to pay the expenses of the Government in excess of the revenues and sustain the gold reserve. While it is true that the greater part of the proceeds of these bonds were used to supply deficient revenues, a considerable portion was required to maintain the gold reserve."
12/06/1897,William Mckinley,"With our revenues equal to our expenses, there would be no deficit requiring the issuance of bonds. But if the gold reserve falls below $100,000,000, how will it be replenished except by selling more bonds? Is there any other way practicable under existing law? The serious question then is, Shall we continue the policy that has been pursued in the past; that is, when the gold reserve reaches the point of danger, issue more bonds and supply the needed gold, or shall we provide other means to prevent these recurring drains upon the gold reserve? If no further legislation is had and the policy of selling bonds is to be continued, then Congress should give the Secretary of the Treasury authority to sell bonds at long or short periods, bearing a less rate of interest than is now authorized by law."
12/06/1897,William Mckinley,"I earnestly recommend, as soon as the receipts of the Government are quite sufficient to pay all the expenses of the Government, that when any of the United States notes are presented for redemption in gold and are redeemed in gold, such notes shall be kept and set apart, and only paid out in exchange for gold. This is an obvious duty. If the holder of the United States note prefers the gold and gets it from the Government, he should not receive back from the Government a United States note without paying gold in exchange for it. The reason for this is made all the more apparent when the Government issues an interest-bearing debt to provide gold for the redemption of United States notes--a non-interest-bearing debt. Surely it should not pay them out again except on demand and for gold. If they are put out in any other way, they may return again to be followed by another bond issue to redeem them--another interest-bearing debt to redeem a non-interest-bearing debt."
12/06/1897,William Mckinley,"In my view, it is of the utmost importance that the Government should be relieved from the burden of providing all the gold required for exchanges and export. This responsibility is alone borne by the Government, without any of the usual and necessary banking powers to help itself. The banks do not feel the strain of gold redemption. The whole strain rests upon the Government, and the size of the gold reserve in the Treasury has come to be, with or without reason, the signal of danger or of security. This ought to be stopped."
12/06/1897,William Mckinley,"If we are to have an era of prosperity in the country, with sufficient receipts for the expenses of the Government, we may feel no immediate embarrassment from our present currency; but the danger still exists, and will be ever present, menacing us so long as the existing system continues. And, besides, it is in times of adequate revenues and business tranquillity that the Government should prepare for the worst. We cannot avoid, without serious consequences, the wise consideration and prompt solution of this question."
12/06/1897,William Mckinley,"The Secretary of the Treasury has outlined a plan, in great detail, for the purpose of removing the threatened recurrence of a depleted gold reserve and save us from future embarrassment on that account. To this plan I invite your careful consideration."
12/06/1897,William Mckinley,"I concur with the Secretary of the Treasury in his recommendation that National banks be allowed to issue notes to the face value of the bonds which they have deposited for circulation, and that the tax on circulating notes secured by deposit of such bonds be reduced to one-half of one per cent per annum. I also join him in recommending that authority be given for the establishment of National banks with a minimum capital of $25,000. This will enable the smaller villages and agricultural regions of the country to be supplied with currency to meet their needs."
12/06/1897,William Mckinley,"I recommend that the issue of National bank notes be restricted to the denomination of ten dollars and upwards. If the suggestions I have herein made shall have the approval of Congress, then I would recommend that National banks be required to redeem their notes in gold."
12/06/1897,William Mckinley,"The most important problem with which this Government is now called upon to deal pertaining to its foreign relations concerns its duty toward Spain and the Cuban insurrection. Problems and conditions more or less in common with those now existing have confronted this Government at various times in the past. The story of Cuba for many years has been one of unrest, growing discontent, an effort toward a larger enjoyment of liberty and self-control, of organized resistance to the mother country, of depression after distress and warfare, and of ineffectual settlement to be followed by renewed revolt. For no enduring period since the enfranchisement of the continental possessions of Spain in the Western Continent has the condition of Cuba or the policy of Spain toward Cuba not caused concern to the United States."
12/06/1897,William Mckinley,"The prospect from time to time that the weakness of Spain's hold upon the island and the political vicissitudes and embarrassments of the home Government might lead to the transfer of Cuba to a continental power called forth between 1823 and 1860 various emphatic declarations of the policy of the United States to permit no disturbance of Cuba' s connection with Spain unless in the direction of independence or acquisition by us through purchase, nor has there been any change of this declared policy since upon the part of the Government."
